exam_center,CENTRE CATEGORY,CENTRE POSITION IN ITS CATEGORY(NATIONWISE),CENTRE POSITION IN ITS CATEGORY(REGIONWISE),EXAMINATION CENTRE GPA,EXAMINATION CENTRE REGION,TOTAL PASSED CANDIDATES,REGIST,ABSENT,SAT,WITHHELD,NO-CA,CLEAN,DIV I,DIV II,DIV III,DIV IV,DIV 0
S2796 SANJARANDA,CENTRE WITH 40 CANDIDATES OR MORE,1216/3488,31/98,3.9078,SINGIDA,42,51,1,50,0,0,50,0,9,7,26,8
S2797 IPAMUDA,CENTRE WITH LESS THAN 40 CANDIDATES,1337/1371,60/60,4.5829,SINGIDA,6,15,0,15,0,0,15,0,0,1,5,9
S2798 IDODYANDOLE,CENTRE WITH LESS THAN 40 CANDIDATES,1180/1371,53/60,4.3628,SINGIDA,8,13,0,13,0,0,13,0,1,0,7,5
S2799 KAMENYANGA,CENTRE WITH LESS THAN 40 CANDIDATES,1144/1371,50/60,4.3229,SINGIDA,21,32,0,32,0,0,32,0,0,6,15,11
S2800 ISSEKE,CENTRE WITH LESS THAN 40 CANDIDATES,738/1371,34/60,4.0539,SINGIDA,16,21,1,20,0,0,20,0,1,4,11,4
S2801 KINANGALI,CENTRE WITH LESS THAN 40 CANDIDATES,716/1371,31/60,4.0436,SINGIDA,22,33,1,32,0,0,32,0,4,6,12,10
S2802 MAKANDA,CENTRE WITH LESS THAN 40 CANDIDATES,1312/1371,57/60,4.5208,SINGIDA,5,8,0,8,0,0,8,0,0,0,5,3
S2803 TWIGA,CENTRE WITH 40 CANDIDATES OR MORE,1023/3488,90/239,3.8397,DAR ES SALAAM,159,203,1,202,0,0,202,7,25,37,90,43
S2804 MUSOMA UTALII,CENTRE WITH 40 CANDIDATES OR MORE,-,-,-,MARA,-,136,2,134,133,0,1,0,0,0,0,1
S2805 DABAGA,CENTRE WITH 40 CANDIDATES OR MORE,1089/3488,41/130,3.8599,IRINGA,76,85,2,83,0,0,83,4,3,18,51,7
S2806 MAGUU,CENTRE WITH 40 CANDIDATES OR MORE,1998/3488,61/115,4.1031,RUVUMA,43,48,1,47,0,0,47,0,1,7,35,4
S2807 KING'ONGO,CENTRE WITH 40 CANDIDATES OR MORE,1861/3488,123/239,4.0748,DAR ES SALAAM,150,212,3,209,0,0,209,2,12,45,91,59
S2808 KISHAMAPANDA,CENTRE WITH 40 CANDIDATES OR MORE,2947/3488,69/70,4.3171,SIMIYU,44,84,3,81,0,0,81,1,4,8,31,37
S2809 MALAMBO,CENTRE WITH 40 CANDIDATES OR MORE,1799/3488,113/173,4.0617,ARUSHA,77,95,1,94,0,0,94,0,9,9,59,17
S2810 SAMUNGE,CENTRE WITH 40 CANDIDATES OR MORE,1271/3488,79/173,3.9226,ARUSHA,53,57,0,57,0,0,57,0,4,10,39,4
S2811 VISIGA,CENTRE WITH 40 CANDIDATES OR MORE,2983/3488,87/115,4.3298,PWANI,54,94,0,94,0,0,94,1,5,10,38,40
S2812 MEKOMARIRO,CENTRE WITH LESS THAN 40 CANDIDATES,613/1371,20/36,3.9613,MARA,24,28,1,27,0,0,27,1,2,3,18,3
S2813 KURASINI,CENTRE WITH 40 CANDIDATES OR MORE,3260/3488,225/239,4.4314,DAR ES SALAAM,139,304,5,299,2,0,297,3,7,31,98,158
S2814 ENDABASH,CENTRE WITH 40 CANDIDATES OR MORE,1238/3488,76/173,3.9150,ARUSHA,36,51,1,50,0,0,50,3,3,12,18,14
S2815 KIGUGU,CENTRE WITH 40 CANDIDATES OR MORE,1688/3488,112/174,4.0358,MBEYA,53,68,5,63,0,0,63,0,5,12,36,10
S2817 NOWU,CENTRE WITH 40 CANDIDATES OR MORE,1019/3488,39/98,3.8378,MANYARA,57,71,4,67,0,0,67,1,9,11,36,10
S2818 SILALODA,CENTRE WITH LESS THAN 40 CANDIDATES,494/1371,27/52,3.8889,MANYARA,10,11,0,11,0,0,11,0,2,1,7,1
S2819 PHILIP MARMO,CENTRE WITH 40 CANDIDATES OR MORE,827/3488,27/98,3.7403,MANYARA,57,65,0,65,0,0,65,1,11,15,30,8
S2820 HAYDOM,CENTRE WITH 40 CANDIDATES OR MORE,1060/3488,40/98,3.8496,MANYARA,55,63,4,59,0,0,59,1,6,15,33,4
S2821 DINAMU,CENTRE WITH 40 CANDIDATES OR MORE,3430/3488,98/98,4.5560,MANYARA,27,49,1,48,0,0,48,0,0,2,25,21
S2822 YAEDA AMPA,CENTRE WITH LESS THAN 40 CANDIDATES,232/1371,10/52,3.5243,MANYARA,32,34,1,33,0,0,33,1,10,4,17,1
S2823 GOROWA,CENTRE WITH 40 CANDIDATES OR MORE,1967/3488,86/98,4.0961,MANYARA,31,47,2,45,0,0,45,0,5,8,18,14
S2824 NDEKI,CENTRE WITH 40 CANDIDATES OR MORE,1508/3488,66/98,3.9973,MANYARA,45,60,5,55,0,0,55,1,5,9,30,10
S2825 LOIBORSOIT,CENTRE WITH 40 CANDIDATES OR MORE,2120/3488,90/98,4.1294,MANYARA,36,56,2,54,0,0,54,0,6,8,22,18
S2826 KIPAGALO,CENTRE WITH 40 CANDIDATES OR MORE,3158/3488,88/89,4.3847,NJOMBE,36,54,0,54,0,0,54,0,1,2,33,18
S2827 MANG'OTO,CENTRE WITH 40 CANDIDATES OR MORE,3229/3488,89/89,4.4172,NJOMBE,26,49,2,47,0,0,47,0,1,5,20,21
S2828 MOUNT CHAFUKWE,CENTRE WITH 40 CANDIDATES OR MORE,2657/3488,74/89,4.2484,NJOMBE,41,72,5,67,0,0,67,0,2,12,27,26
S2829 IPELELE,CENTRE WITH 40 CANDIDATES OR MORE,1915/3488,57/89,4.0874,NJOMBE,40,49,3,46,0,0,46,0,2,10,28,6
S2830 NYAKALIRO,CENTRE WITH 40 CANDIDATES OR MORE,2218/3488,164/241,4.1481,MWANZA,73,124,4,120,0,0,120,1,10,22,40,47
S2831 MARIA CONSOLATA,CENTRE WITH LESS THAN 40 CANDIDATES,252/1371,13/32,3.5720,IRINGA,27,28,1,27,0,0,27,1,5,5,16,0
S2832 TUMONA DAY,CENTRE WITH 40 CANDIDATES OR MORE,2729/3488,212/270,4.2653,KILIMANJARO,40,64,1,63,0,0,63,1,4,3,32,23
S2833 KWAMNDOLWA,CENTRE WITH LESS THAN 40 CANDIDATES,1229/1371,67/92,4.4056,TANGA,23,37,1,36,0,0,36,0,0,3,20,13
S2834 ZOMBO,CENTRE WITH 40 CANDIDATES OR MORE,3370/3488,157/159,4.4984,MOROGORO,25,45,0,45,0,0,45,0,1,1,23,20
S2836 MLAMBAI,CENTRE WITH 40 CANDIDATES OR MORE,834/3488,80/270,3.7445,KILIMANJARO,43,47,0,47,0,0,47,0,8,10,25,4
S2837 ALENI,CENTRE WITH 40 CANDIDATES OR MORE,3200/3488,254/270,4.4029,KILIMANJARO,26,47,1,46,0,0,46,0,1,6,19,20
S2838 KWAIKURU,CENTRE WITH 40 CANDIDATES OR MORE,1475/3488,118/270,3.9876,KILIMANJARO,61,74,3,71,0,0,71,0,7,10,44,10
S2839 KILAMACHO,CENTRE WITH 40 CANDIDATES OR MORE,2235/3488,180/270,4.1516,KILIMANJARO,46,59,1,58,0,0,58,0,6,4,36,12
S2840 MENGENI,CENTRE WITH 40 CANDIDATES OR MORE,1655/3488,134/270,4.0293,KILIMANJARO,39,46,0,46,0,0,46,1,2,9,27,7
S2841 NANJARA,CENTRE WITH 40 CANDIDATES OR MORE,2646/3488,208/270,4.2452,KILIMANJARO,50,71,0,71,0,0,71,0,2,10,38,21
S2842 URAURI,CENTRE WITH 40 CANDIDATES OR MORE,2405/3488,195/270,4.1906,KILIMANJARO,63,80,1,79,0,0,79,3,0,6,54,16
S2843 KELAMFUA,CENTRE WITH 40 CANDIDATES OR MORE,1328/3488,106/270,3.9436,KILIMANJARO,52,61,0,61,0,0,61,0,3,17,32,9
S2844 UBAA,CENTRE WITH 40 CANDIDATES OR MORE,2350/3488,192/270,4.1791,KILIMANJARO,61,80,1,79,0,0,79,0,4,8,49,18
S2845 BOONI,CENTRE WITH 40 CANDIDATES OR MORE,2294/3488,185/270,4.1678,KILIMANJARO,38,57,0,57,0,0,57,0,5,10,23,19
S2846 MAIN GREENHILL,CENTRE WITH 40 CANDIDATES OR MORE,327/3488,41/239,3.0553,DAR ES SALAAM,85,85,0,85,0,0,85,9,29,27,20,0
S2847 NDUWENI,CENTRE WITH 40 CANDIDATES OR MORE,2008/3488,164/270,4.1052,KILIMANJARO,55,69,2,67,0,0,67,1,2,9,43,12
S2848 KWALAKAMU,CENTRE WITH 40 CANDIDATES OR MORE,1054/3488,88/270,3.8479,KILIMANJARO,82,99,1,98,0,0,98,0,14,21,47,16
S2849 MASHATI,CENTRE WITH 40 CANDIDATES OR MORE,1463/3488,116/270,3.9856,KILIMANJARO,86,109,7,102,0,0,102,1,9,18,58,16
S2850 MAMSERA,CENTRE WITH LESS THAN 40 CANDIDATES,1184/1371,40/46,4.3668,KILIMANJARO,20,37,2,35,0,0,35,0,1,5,14,15
S2851 MEMA,CENTRE WITH 40 CANDIDATES OR MORE,1245/3488,98/270,3.9162,KILIMANJARO,39,47,1,46,0,0,46,1,5,8,25,7
S2852 UMARINI,CENTRE WITH 40 CANDIDATES OR MORE,1640/3488,132/270,4.0265,KILIMANJARO,45,49,0,49,0,0,49,1,1,9,34,4
S2853 KAHEUSSERI,CENTRE WITH 40 CANDIDATES OR MORE,1106/3488,93/270,3.8672,KILIMANJARO,69,76,0,76,0,0,76,1,7,15,46,7
S2854 MBOMAI,CENTRE WITH 40 CANDIDATES OR MORE,1488/3488,121/270,3.9916,KILIMANJARO,74,95,3,92,0,0,92,0,13,9,52,18
S2855 KIRACHI,CENTRE WITH 40 CANDIDATES OR MORE,1883/3488,154/270,4.0805,KILIMANJARO,44,56,0,56,0,0,56,0,2,11,31,12
S2856 MAKIIDI,CENTRE WITH 40 CANDIDATES OR MORE,2312/3488,187/270,4.1712,KILIMANJARO,78,109,2,107,0,0,107,0,4,19,55,29
S2857 MAKI,CENTRE WITH 40 CANDIDATES OR MORE,2699/3488,210/270,4.2603,KILIMANJARO,75,117,3,114,0,0,114,0,3,18,54,39
S2858 SUA,CENTRE WITH 40 CANDIDATES OR MORE,3038/3488,137/159,4.3500,MOROGORO,77,149,3,146,0,0,146,1,8,15,53,69
S2859 MAFIGA,CENTRE WITH 40 CANDIDATES OR MORE,2045/3488,84/159,4.1136,MOROGORO,128,176,2,174,0,0,174,1,9,29,89,46
S2860 MJIMPYA,CENTRE WITH 40 CANDIDATES OR MORE,912/3488,40/159,3.7839,MOROGORO,162,204,2,202,0,0,202,5,29,44,84,40
S2861 KAUZENI,CENTRE WITH LESS THAN 40 CANDIDATES,579/1371,30/76,3.9399,MOROGORO,27,30,1,29,0,0,29,1,0,5,21,2
S2862 NANENANE,CENTRE WITH 40 CANDIDATES OR MORE,1213/3488,51/159,3.9068,MOROGORO,120,142,2,140,0,0,140,1,12,28,79,20
S2863 TUBUYU,CENTRE WITH 40 CANDIDATES OR MORE,3075/3488,138/159,4.3611,MOROGORO,59,94,1,93,0,0,93,0,2,8,49,34
S2864 MWANIHANA,CENTRE WITH 40 CANDIDATES OR MORE,1504/3488,60/159,3.9967,MOROGORO,65,72,0,72,0,0,72,0,4,11,50,7
S2865 KWASHUNGU,CENTRE WITH 40 CANDIDATES OR MORE,1720/3488,70/159,4.0420,MOROGORO,86,106,3,103,0,0,103,0,7,20,59,17
S2866 MASAKI,CENTRE WITH 40 CANDIDATES OR MORE,2783/3488,78/115,4.2775,PWANI,34,45,0,45,0,0,45,0,1,4,29,11
S2867 BUJINGWA,CENTRE WITH 40 CANDIDATES OR MORE,1932/3488,137/241,4.0906,MWANZA,111,171,9,162,0,0,162,4,12,25,70,51
S2868 MWASANGA,CENTRE WITH LESS THAN 40 CANDIDATES,734/1371,20/37,4.0521,MBEYA,35,38,0,38,0,0,38,0,3,4,28,3
S2869 MUHANDU,CENTRE WITH 40 CANDIDATES OR MORE,1566/3488,104/241,4.0119,MWANZA,188,250,5,245,0,0,245,4,26,27,131,57
S2870 SHIBULA,CENTRE WITH 40 CANDIDATES OR MORE,2244/3488,167/241,4.1538,MWANZA,81,123,1,122,0,0,122,1,12,14,54,41
S2871 LUKOBE,CENTRE WITH 40 CANDIDATES OR MORE,886/3488,60/241,3.7719,MWANZA,66,83,3,80,0,0,80,1,11,23,31,14
S2872 LWANHIMA,CENTRE WITH 40 CANDIDATES OR MORE,2625/3488,200/241,4.2404,MWANZA,89,141,2,139,0,0,139,0,7,16,66,50
S2873 MATALA,CENTRE WITH 40 CANDIDATES OR MORE,1009/3488,85/270,3.8320,KILIMANJARO,33,43,1,42,0,0,42,1,6,11,15,9
S2874 NYAMIONGO,CENTRE WITH 40 CANDIDATES OR MORE,2521/3488,111/157,4.2168,MARA,46,71,2,69,0,0,69,0,4,8,34,23
S2875 NYABISARE,CENTRE WITH 40 CANDIDATES OR MORE,1616/3488,49/157,4.0229,MARA,49,69,3,66,0,0,66,0,8,9,32,17
S2876 BARUTI,CENTRE WITH 40 CANDIDATES OR MORE,2930/3488,130/157,4.3137,MARA,75,147,9,138,0,0,138,1,6,16,52,63
S2877 IBRA,CENTRE WITH 40 CANDIDATES OR MORE,689/3488,14/117,3.6242,DODOMA,68,69,1,68,0,0,68,1,8,23,36,0
S2878 BRIGHT ANGELS,CENTRE WITH 40 CANDIDATES OR MORE,623/3488,32/115,3.5562,PWANI,79,80,0,80,0,0,80,2,15,21,41,1
S2879 KIDETE,CENTRE WITH 40 CANDIDATES OR MORE,3135/3488,211/239,4.3795,DAR ES SALAAM,62,85,1,84,0,0,84,0,0,4,58,22
S2880 OLDONYO LENGAI,CENTRE WITH 40 CANDIDATES OR MORE,1451/3488,93/173,3.9823,ARUSHA,49,53,0,53,0,0,53,0,2,8,39,4
S2881 NANJA,CENTRE WITH 40 CANDIDATES OR MORE,1160/3488,71/173,3.8902,ARUSHA,102,116,1,115,0,0,115,2,6,25,69,13
S2882 RIFT VALLEY,CENTRE WITH 40 CANDIDATES OR MORE,1695/3488,110/173,4.0370,ARUSHA,89,112,1,111,0,0,111,0,9,20,60,22
S2883 IRKISALE,CENTRE WITH 40 CANDIDATES OR MORE,552/3488,37/173,3.4351,ARUSHA,75,78,0,78,0,0,78,3,15,26,31,3
S2884 OLTINGA,CENTRE WITH 40 CANDIDATES OR MORE,1117/3488,67/173,3.8715,ARUSHA,57,66,1,65,0,0,65,1,5,14,37,8
S2885 OLESOKOINE,CENTRE WITH 40 CANDIDATES OR MORE,2062/3488,124/173,4.1163,ARUSHA,95,116,0,116,0,0,116,1,1,19,74,21
S2886 MTEKENTE,CENTRE WITH LESS THAN 40 CANDIDATES,647/1371,24/60,3.9883,SINGIDA,21,25,1,24,0,0,24,0,2,4,15,3
S2887 MITUNDURUNI,CENTRE WITH 40 CANDIDATES OR MORE,1805/3488,44/98,4.0639,SINGIDA,54,72,1,71,0,0,71,2,3,10,39,17
S2888 MAZAE,CENTRE WITH 40 CANDIDATES OR MORE,2299/3488,64/117,4.1691,DODOMA,42,45,1,44,0,0,44,0,1,5,36,2
S2889 MWANAKYANGA,CENTRE WITH 40 CANDIDATES OR MORE,2763/3488,81/117,4.2732,DODOMA,51,83,1,82,0,0,82,0,4,10,37,31
S2890 KIZOTA,CENTRE WITH 40 CANDIDATES OR MORE,3350/3488,111/117,4.4843,DODOMA,58,113,1,112,0,0,112,0,1,7,50,54
S2891 UMONGA,CENTRE WITH 40 CANDIDATES OR MORE,2582/3488,75/117,4.2320,DODOMA,103,141,5,136,0,0,136,1,4,14,84,33
S2892 HAZINA,CENTRE WITH 40 CANDIDATES OR MORE,2493/3488,72/117,4.2097,DODOMA,83,135,3,132,0,0,132,1,8,23,51,49
S2893 MKONZE,CENTRE WITH 40 CANDIDATES OR MORE,1572/3488,39/117,4.0127,DODOMA,72,81,4,77,0,0,77,1,4,10,57,5
S2894 MAKOLE,CENTRE WITH 40 CANDIDATES OR MORE,837/3488,18/117,3.7462,DODOMA,108,120,4,116,0,0,116,1,16,22,69,8
S2895 NG'HONG'HONA,CENTRE WITH 40 CANDIDATES OR MORE,1141/3488,27/117,3.8793,DODOMA,35,43,4,39,0,0,39,0,4,7,24,4
S2896 IHUMWA,CENTRE WITH 40 CANDIDATES OR MORE,1953/3488,54/117,4.0938,DODOMA,64,88,4,84,0,0,84,1,4,16,43,20
S2897 NZUGUNI,CENTRE WITH 40 CANDIDATES OR MORE,1426/3488,33/117,3.9740,DODOMA,72,96,2,94,0,0,94,2,13,8,49,22
S2898 CHIHANGA,CENTRE WITH LESS THAN 40 CANDIDATES,350/1371,8/94,3.7396,DODOMA,17,18,0,18,0,0,18,0,2,5,10,1
S2899 IPALA,CENTRE WITH LESS THAN 40 CANDIDATES,767/1371,41/94,4.0730,DODOMA,29,36,1,35,0,0,35,0,3,2,24,6
S2900 ZUZU,CENTRE WITH LESS THAN 40 CANDIDATES,1129/1371,80/94,4.3148,DODOMA,21,31,1,30,0,0,30,0,1,3,17,9
S2901 JAILA,CENTRE WITH 40 CANDIDATES OR MORE,3456/3488,183/188,4.5997,TANGA,41,105,2,103,1,0,102,0,1,9,31,61
S2902 MIHAMBWE,CENTRE WITH LESS THAN 40 CANDIDATES,906/1371,20/47,4.1731,MTWARA,27,38,0,38,0,0,38,2,1,3,21,11
S2903 MWAGI,CENTRE WITH 40 CANDIDATES OR MORE,3084/3488,227/241,4.3630,MWANZA,50,88,2,86,0,0,86,0,3,11,36,36
S2904 NG'HUNDI,CENTRE WITH 40 CANDIDATES OR MORE,2061/3488,152/241,4.1162,MWANZA,38,46,0,46,0,0,46,0,0,12,26,8
S2905 BUPAMWA,CENTRE WITH 40 CANDIDATES OR MORE,2419/3488,184/241,4.1938,MWANZA,41,68,5,63,0,0,63,0,6,7,28,22
S2906 MWANDU,CENTRE WITH 40 CANDIDATES OR MORE,2902/3488,216/241,4.3063,MWANZA,39,62,2,60,0,0,60,0,4,4,31,21
S2907 OLOKII,CENTRE WITH 40 CANDIDATES OR MORE,3255/3488,170/173,4.4296,ARUSHA,74,130,0,130,0,0,130,0,3,10,61,56
S2908 NKOARISAMBU,CENTRE WITH 40 CANDIDATES OR MORE,3247/3488,169/173,4.4245,ARUSHA,64,121,2,119,0,0,119,1,3,10,50,55
S2909 MUSA,CENTRE WITH 40 CANDIDATES OR MORE,2743/3488,156/173,4.2684,ARUSHA,44,74,2,72,0,0,72,0,5,9,30,28
S2910 OLTURUMET,CENTRE WITH 40 CANDIDATES OR MORE,3466/3488,173/173,4.6243,ARUSHA,23,61,0,61,0,0,61,0,1,2,20,38
S2911 NAMANGA,CENTRE WITH 40 CANDIDATES OR MORE,1338/3488,90/173,3.9472,ARUSHA,131,150,2,148,0,0,148,0,12,25,94,17
S2912 ENGARENABOIR,CENTRE WITH 40 CANDIDATES OR MORE,988/3488,58/173,3.8245,ARUSHA,123,145,1,144,0,0,144,2,17,28,76,21
S2913 MANG'OLA,CENTRE WITH 40 CANDIDATES OR MORE,1565/3488,105/173,4.0117,ARUSHA,78,94,0,94,0,0,94,0,8,16,54,16
S2914 BARAY,CENTRE WITH 40 CANDIDATES OR MORE,907/3488,50/173,3.7823,ARUSHA,42,51,0,51,0,0,51,0,10,13,19,9
S2915 KILIMATEMBO,CENTRE WITH LESS THAN 40 CANDIDATES,966/1371,38/45,4.2053,ARUSHA,27,38,0,38,0,0,38,0,1,8,18,11
S2916 GYEKRUMLAMBO,CENTRE WITH LESS THAN 40 CANDIDATES,1005/1371,40/45,4.2277,ARUSHA,11,15,1,14,0,0,14,0,0,2,9,3
S2917 BASODESH,CENTRE WITH LESS THAN 40 CANDIDATES,116/1371,4/52,3.2321,MANYARA,34,36,2,34,0,0,34,1,10,13,10,0
S2918 ARRITSAAYO,CENTRE WITH 40 CANDIDATES OR MORE,1621/3488,73/98,4.0234,MANYARA,47,56,0,56,0,0,56,1,3,10,33,9
S2919 QASH,CENTRE WITH 40 CANDIDATES OR MORE,1596/3488,71/98,4.0177,MANYARA,55,73,1,72,0,0,72,3,5,11,36,17
S2920 VIHOKOLI,CENTRE WITH 40 CANDIDATES OR MORE,1598/3488,26/99,4.0178,MTWARA,42,44,0,44,0,0,44,0,0,6,36,2
S2921 ISANGU,CENTRE WITH 40 CANDIDATES OR MORE,730/3488,17/70,3.6710,SONGWE,89,101,4,97,0,0,97,5,9,24,51,8
S2922 MPAKANI,CENTRE WITH 40 CANDIDATES OR MORE,1120/3488,24/70,3.8720,SONGWE,135,156,6,150,0,0,150,5,14,17,99,15
S2923 MSANKWI,CENTRE WITH 40 CANDIDATES OR MORE,2709/3488,56/70,4.2615,SONGWE,61,86,0,86,0,0,86,1,3,6,51,25
S2924 NANSWILU,CENTRE WITH LESS THAN 40 CANDIDATES,821/1371,16/36,4.1167,SONGWE,29,36,0,36,0,0,36,0,3,5,21,7
S2925 NALYELYE,CENTRE WITH 40 CANDIDATES OR MORE,953/3488,21/70,3.8080,SONGWE,186,209,0,209,0,0,209,3,30,41,112,23
S2926 KAPELE,CENTRE WITH LESS THAN 40 CANDIDATES,1078/1371,25/36,4.2764,SONGWE,26,37,0,37,0,0,37,0,0,5,21,11
S2927 CHITETE,CENTRE WITH 40 CANDIDATES OR MORE,966/3488,22/70,3.8145,SONGWE,39,46,1,45,0,0,45,0,4,13,22,6
S2928 NDUGU,CENTRE WITH 40 CANDIDATES OR MORE,2189/3488,47/70,4.1423,SONGWE,103,134,1,133,0,0,133,0,7,20,76,30
S2929 BARA,CENTRE WITH 40 CANDIDATES OR MORE,1518/3488,34/70,4.0002,SONGWE,41,48,1,47,0,0,47,0,4,6,31,6
S2930 IGANYA,CENTRE WITH 40 CANDIDATES OR MORE,2290/3488,49/70,4.1669,SONGWE,49,75,4,71,0,0,71,0,5,12,32,22
S2931 IVUNA,CENTRE WITH LESS THAN 40 CANDIDATES,855/1371,19/36,4.1429,SONGWE,17,25,1,24,0,0,24,0,2,3,12,7
S2932 IDIMI,CENTRE WITH LESS THAN 40 CANDIDATES,826/1371,17/36,4.1209,SONGWE,28,39,0,39,0,0,39,1,1,10,16,11
S2933 SHIWINGA,CENTRE WITH 40 CANDIDATES OR MORE,2922/3488,60/70,4.3108,SONGWE,60,103,3,100,0,0,100,0,5,10,45,40
S2934 MSANGAWALE,CENTRE WITH 40 CANDIDATES OR MORE,2278/3488,48/70,4.1623,SONGWE,50,65,1,64,0,0,64,0,4,8,38,14
S2935 IMAGE-VOSA,CENTRE WITH LESS THAN 40 CANDIDATES,125/1371,8/32,3.2551,IRINGA,20,22,1,21,0,0,21,1,8,5,6,1
S2936 BAGA,CENTRE WITH 40 CANDIDATES OR MORE,2884/3488,123/188,4.3030,TANGA,34,48,0,48,0,0,48,0,0,5,29,14
S2937 HEMTOYE,CENTRE WITH LESS THAN 40 CANDIDATES,1343/1371,87/92,4.5942,TANGA,15,31,1,30,0,0,30,0,0,0,15,15
S2938 KITALA,CENTRE WITH LESS THAN 40 CANDIDATES,956/1371,40/92,4.1989,TANGA,28,34,0,34,0,0,34,0,1,4,23,6
S2939 KIVILICHA,CENTRE WITH LESS THAN 40 CANDIDATES,1190/1371,62/92,4.3730,TANGA,17,26,0,26,0,0,26,0,0,2,15,9
S2940 KWAMONGO,CENTRE WITH LESS THAN 40 CANDIDATES,952/1371,38/92,4.1963,TANGA,21,24,0,24,0,0,24,0,0,3,18,3
S2941 KWEHANGALA,CENTRE WITH LESS THAN 40 CANDIDATES,954/1371,39/92,4.1966,TANGA,24,27,0,27,0,0,27,0,0,3,21,3
S2942 KWEMASHAI,CENTRE WITH 40 CANDIDATES OR MORE,3343/3488,162/188,4.4802,TANGA,19,40,0,40,0,0,40,0,2,1,16,21
S2943 KWEULASI,CENTRE WITH LESS THAN 40 CANDIDATES,1340/1371,85/92,4.5852,TANGA,13,26,0,26,0,0,26,0,0,1,12,13
S2944 MAGAMBA,CENTRE WITH 40 CANDIDATES OR MORE,646/3488,25/188,3.5814,TANGA,53,54,0,54,0,0,54,1,5,22,25,1
S2945 MIBUKWE,CENTRE WITH LESS THAN 40 CANDIDATES,1346/1371,89/92,4.6006,TANGA,15,31,1,30,0,0,30,0,0,0,15,15
S2946 MSALE,CENTRE WITH LESS THAN 40 CANDIDATES,842/1371,30/92,4.1310,TANGA,29,33,0,33,0,0,33,0,1,4,24,4
S2947 NGULWI,CENTRE WITH LESS THAN 40 CANDIDATES,1238/1371,69/92,4.4211,TANGA,22,30,0,30,0,0,30,0,0,0,22,8
S2948 MASANGE JUU,CENTRE WITH 40 CANDIDATES OR MORE,1294/3488,46/188,3.9299,TANGA,68,81,0,81,0,0,81,1,7,15,45,13
S2949 MAZASHAI,CENTRE WITH LESS THAN 40 CANDIDATES,1349/1371,91/92,4.6053,TANGA,8,21,0,21,0,0,21,0,1,0,7,13
S2950 MAZUMBAI,CENTRE WITH 40 CANDIDATES OR MORE,1191/3488,43/188,3.8992,TANGA,40,46,0,46,0,0,46,0,6,6,28,6
S2951 MBWEI,CENTRE WITH LESS THAN 40 CANDIDATES,1280/1371,77/92,4.4674,TANGA,8,16,0,16,0,0,16,0,1,1,6,8
S2952 MDANDO,CENTRE WITH LESS THAN 40 CANDIDATES,1301/1371,81/92,4.4960,TANGA,13,19,0,19,0,0,19,0,0,0,13,6
S2953 KIRETI,CENTRE WITH LESS THAN 40 CANDIDATES,962/1371,41/92,4.2034,TANGA,15,22,0,22,0,0,22,0,2,3,10,7
S2954 BALOZI MSHANGAMA,CENTRE WITH 40 CANDIDATES OR MORE,1467/3488,52/188,3.9861,TANGA,35,43,0,43,0,0,43,0,3,10,22,8
S2955 MTUMBI,CENTRE WITH 40 CANDIDATES OR MORE,1742/3488,61/188,4.0474,TANGA,48,57,1,56,0,0,56,1,2,9,36,8
S2956 BIASHARA BARIADI,CENTRE WITH 40 CANDIDATES OR MORE,695/3488,18/70,3.6341,SIMIYU,154,170,4,166,0,0,166,10,22,31,91,12
S2957 KIDINDA,CENTRE WITH 40 CANDIDATES OR MORE,1016/3488,30/70,3.8363,SIMIYU,128,169,4,165,0,0,165,8,23,25,72,37
S2958 NYASOSI,CENTRE WITH 40 CANDIDATES OR MORE,1037/3488,32/70,3.8437,SIMIYU,44,54,2,52,0,0,52,0,7,12,25,8
S2959 MWAMLAPA,CENTRE WITH 40 CANDIDATES OR MORE,3451/3488,70/70,4.5891,SIMIYU,24,59,0,59,0,0,59,0,0,5,19,35
S2960 NG'WANG'WALI,CENTRE WITH LESS THAN 40 CANDIDATES,333/1371,38/81,3.7151,SIMIYU,21,24,2,22,0,0,22,0,3,6,12,1
S2961 ITUBUKILO,CENTRE WITH LESS THAN 40 CANDIDATES,712/1371,67/81,4.0411,SIMIYU,15,17,0,17,0,0,17,0,1,3,11,2
S2962 MBITI,CENTRE WITH LESS THAN 40 CANDIDATES,549/1371,60/81,3.9222,SIMIYU,25,28,0,28,0,0,28,0,2,6,17,3
S2963 SAKWE,CENTRE WITH LESS THAN 40 CANDIDATES,428/1371,51/81,3.8315,SIMIYU,23,31,0,31,0,0,31,1,6,6,10,8
S2964 MISWAKI,CENTRE WITH 40 CANDIDATES OR MORE,2568/3488,62/70,4.2287,SIMIYU,38,55,0,55,0,0,55,0,3,6,29,17
S2965 LUNG'WA,CENTRE WITH LESS THAN 40 CANDIDATES,323/1371,35/81,3.7018,SIMIYU,10,10,0,10,0,0,10,0,1,3,6,0
S2966 CHINAMILI,CENTRE WITH LESS THAN 40 CANDIDATES,132/1371,6/81,3.2807,SIMIYU,19,29,10,19,0,0,19,2,4,6,7,0
S2967 BUDALABUJIGA,CENTRE WITH LESS THAN 40 CANDIDATES,88/1371,2/81,3.1074,SIMIYU,16,17,1,16,0,0,16,2,4,6,4,0
